group,subject,aggreableness,neuroticism,openness,max_value,personality_tendency,confidentiality_first,confidentiality_second,authenticity_first,authenticity_second,accountability_first,accountability_second,integrity_first,integrity_second,delta_confidentiality,delta_authenticity,delta_accountability,delta_integrity,trust_first,trust_second,usefulness_first,usefulness_second
Group A,Subject 1,0.69,0.73,0.9,0.9,Openness,Extremely important,Extremely important,Not at all important,Slightly important,Slightly important,Slightly important,Extremely important,Extremely important,0,1,0,0,,,,
Group A,Subject 2,0.64,0.5,0.92,0.92,Openness,Very important,Extremely important,Very important,Moderately important,Slightly important,Moderately important,Very important,Extremely important,1,-1,1,1,,,,
Group A,Subject 3,0.82,0.48,0.74,0.82,Agreeableness,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Extremely important,0,0,2,0,,,,
Group A,Subject 4,0.78,0.48,0.76,0.78,Agreeableness,Extremely important,Extremely important,Very important,Very important,Very important,Very important,Very important,Extremely important,0,0,0,1,,,,
Group A,Subject 5,0.8,0.53,0.78,0.8,Agreeableness,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,0,2,0,0,,,,
Group A,Subject 6,0.56,0.7,0.54,0.7,Neuroticism,Extremely important,Extremely important,Very important,Extremely important,Slightly important,Moderately important,Very important,Extremely important,0,1,1,1,,,,
Group A,Subject 7,0.76,0.45,0.86,0.86,Openness,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,0,0,1,0,,,,
Group A,Subject 8,0.67,0.6,0.9,0.9,Openness,Moderately important,Very important,Slightly important,Very important,Moderately important,Moderately important,Extremely important,Extremely important,1,2,0,0,,,,
Group A,Subject 9,0.8,0.48,0.82,0.82,Openness,Extremely important,Extremely important,Very important,Extremely important,Not at all important,Extremely important,Extremely important,Extremely important,0,1,4,0,,,,
Group A,Subject 10,0.69,0.53,0.74,0.74,Openness,Very important,Very important,Slightly important,Very important,Slightly important,Very important,Very important,Very important,0,2,2,0,,,,
Group A,Subject 11,0.67,0.35,0.84,0.84,Openness,Extremely important,Extremely important,Very important,Very important,Slightly important,Very important,Extremely important,Extremely important,0,0,2,0,,,,
Group A,Subject 12,0.62,0.65,0.56,0.65,Neuroticism,Very important,Very important,Moderately important,Moderately important,Slightly important,Slightly important,Moderately important,Very important,0,0,0,1,,,,
Group A,Subject 13,0.69,0.68,0.84,0.84,Openness,Slightly important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Moderately important,-1,0,0,2,,,,
Group A,Subject 14,0.69,0.55,0.88,0.88,Openness,Extremely important,Extremely important,Extremely important,Extremely important,Not at all important,Not at all important,Extremely important,Extremely important,0,0,0,0,,,,
Group A,Subject 15,0.73,0.43,0.58,0.73,Agreeableness,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,Very important,Very important,Extremely important,0,0,1,1,,,,
Group A,Subject 16,0.82,0.5,0.94,0.94,Openness,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,0,0,0,0,,,,
Group A,Subject 17,0.8,0.43,0.74,0.8,Agreeableness,Very important,Very important,Very important,Extremely important,Very important,Extremely important,Very important,Very important,0,1,1,0,,,,
Group A,Subject 18,0.6,0.63,0.74,0.74,Openness,Slightly important,Moderately important,Not at all important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,1,2,0,0,,,,
Group A,Subject 19,0.64,0.58,0.74,0.74,Openness,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,0,0,0,0,,,,
Group A,Subject 20,0.67,0.53,0.66,0.67,Agreeableness,Moderately important,Very important,Very important,Very important,Moderately important,Very important,Very important,Moderately important,1,0,1,-1,,,,
Group B,Subject 21,0.78,0.88,0.68,0.88,Neuroticism,Slightly important,Very important,Very important,Moderately important,Moderately important,Extremely important,Very important,Very important,2,-1,2,0,,,,
Group B,Subject 22,0.56,0.55,0.68,0.68,Openness,Moderately important,Very important,Extremely important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,1,-1,0,0,,,,
Group B,Subject 23,0.73,0.5,0.76,0.76,Openness,Very important,Extremely important,Very important,Extremely important,Moderately important,Extremely important,Slightly important,Very important,1,1,2,2,,,,
Group B,Subject 24,0.69,0.58,0.74,0.74,Openness,Moderately important,Slightly important,Slightly important,Slightly important,Moderately important,Moderately important,Moderately important,Moderately important,-1,0,0,0,,,,
Group B,Subject 25,0.64,0.65,0.8,0.8,Openness,Very important,Very important,Very important,Moderately important,Very important,Extremely important,Very important,Very important,0,-1,1,0,,,,
Group B,Subject 26,0.58,0.68,0.68,0.68,Openness,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Extremely important,Slightly important,0,0,0,-3,,,,
Group B,Subject 26_A,0.58,0.68,0.68,0.68,Neuroticism,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Slightly important,Extremely important,Slightly important,0,0,0,-3,,,,
Group B,Subject 27,0.8,0.65,0.72,0.8,Agreeableness,Very important,Moderately important,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Very important,-1,0,-1,1,,,,
Group B,Subject 28,0.84,0.4,0.9,0.9,Openness,Very important,Moderately important,Very important,Moderately important,Very important,Moderately important,Very important,Moderately important,-1,-1,-1,-1,,,,
Group B,Subject 29,0.73,0.55,0.76,0.76,Openness,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,0,0,0,0,,,,
Group B,Subject 30,0.64,0.63,0.6,0.64,Agreeableness,Slightly important,Very important,Slightly important,Very important,Slightly important,Very important,Slightly important,Very important,2,2,2,2,,,,
Group B,Subject 31,0.76,0.55,0.72,0.76,Agreeableness,Moderately important,Moderately important,Moderately important,Slightly important,Moderately important,Slightly important,Moderately important,Slightly important,0,-1,-1,-1,,,,
Group B,Subject 32,0.78,0.65,0.74,0.78,Agreeableness,Extremely important,Extremely important,Moderately important,Very important,Moderately important,Extremely important,Very important,Very important,0,1,2,0,,,,
Group B,Subject 33,1,0.28,0.98,1,Agreeableness,Moderately important,Extremely important,Very important,Extremely important,Very important,Extremely important,Very important,Extremely important,2,1,1,1,,,,
Group B,Subject 34,0.76,0.85,0.9,0.9,Openness,Extremely important,Very important,Very important,Very important,Extremely important,Very important,Very important,Extremely important,-1,0,-1,1,,,,
Group B,Subject 35,0.82,0.6,0.78,0.82,Agreeableness,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,-1,0,0,0,,,,
Group B,Subject 36,0.76,0.7,0.76,0.76,Openness,Moderately important,Not at all important,Slightly important,Not at all important,Moderately important,Not at all important,Slightly important,Not at all important,-2,-1,-2,-1,,,,
Group B,Subject 36_A,0.76,0.7,0.76,0.76,Agreeableness,Moderately important,Not at all important,Slightly important,Not at all important,Moderately important,Not at all important,Slightly important,Not at all important,-2,-1,-2,-1,,,,
Group B,Subject 37,0.89,0.58,0.82,0.89,Agreeableness,Moderately important,Not at all important,Extremely important,Slightly important,Very important,Not at all important,Moderately important,Slightly important,-2,-3,-3,-1,,,,
Group B,Subject 38,0.8,0.48,0.68,0.8,Agreeableness,Moderately important,Extremely important,Very important,Slightly important,Very important,Very important,Moderately important,Moderately important,2,-2,0,0,,,,
Group B,Subject 39,0.69,0.58,0.88,0.88,Openness,Extremely important,Very important,Extremely important,Extremely important,Very important,Very important,Extremely important,Extremely important,-1,0,0,0,,,,
Group B,Subject 40,0.87,0.48,0.92,0.92,Openness,Extremely important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,-1,0,0,0,,,,
Group B,Subject 41,0.67,0.45,0.7,0.7,Openness,Moderately important,Moderately important,Moderately important,Very important,Moderately important,Very important,Moderately important,Very important,0,1,1,1,,,,
Group B,Subject 42,0.76,0.55,0.72,0.76,Agreeableness,Very important,Not at all important,Very important,Slightly important,Moderately important,Not at all important,Moderately important,Not at all important,-3,-2,-2,-2,,,,
Group B,Subject 43,0.67,0.8,0.62,0.8,Neuroticism,Very important,Not at all important,Very important,Not at all important,Very important,Not at all important,Moderately important,Not at all important,-3,-3,-3,-2,,,,
Group B,Subject 44,0.71,0.68,0.82,0.82,Openness,Moderately important,Very important,Moderately important,Very important,Moderately important,Moderately important,Very important,Moderately important,1,1,0,-1,,,,
Group B,Subject 45,0.73,0.48,0.58,0.73,Agreeableness,Very important,Not at all important,Very important,Not at all important,Very important,Not at all important,Very important,Not at all important,-3,-3,-3,-3,,,,
Group B,Subject 46,0.8,0.58,0.94,0.94,Openness,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,0,0,0,0,,,,
Group B,Subject 47,0.76,0.5,0.84,0.84,Openness,Moderately important,Slightly important,Moderately important,Not at all important,Moderately important,Not at all important,Moderately important,Slightly important,-1,-2,-2,-1,,,,
Group B,Subject 48,0.84,0.58,0.86,0.86,Openness,Extremely important,Very important,Extremely important,Very important,Extremely important,Very important,Extremely important,Extremely important,-1,-1,-1,0,,,,
